timestamp_ms,ax,ay,az
222.0,1.5299,-0.0144,12.2152
232.0,1.6017,0.3879,11.5903
242.0,1.5634,0.7781,10.9798
252.0,1.4892,1.1205,10.4196
262.0,1.5323,1.2641,9.7468
272.0,1.4964,1.1803,8.9591
282.0,1.5371,1.1827,8.1331
292.0,1.5682,1.0487,7.252
302.0,1.5993,0.6895,6.4021
312.0,1.5443,0.1341,5.7581
322.0,1.2857,-0.4573,5.7389
332.0,0.8595,-0.6776,5.6336
342.0,0.5602,-0.3352,5.4253
352.0,0.2586,0.1963,5.4181
362.0,0.1149,0.3136,4.9392
372.0,0.0215,0.2873,4.5969
382.0,-0.0192,-0.0982,3.9792
392.0,-0.1413,-0.7973,3.8403
402.0,-0.4788,-1.5419,4.3096
412.0,-0.7278,-1.2713,4.2377
422.0,-1.3455,-0.7111,4.64
432.0,-1.8747,-0.6345,5.2936
442.0,-2.4134,-0.4717,5.636
452.0,-2.794,-0.5124,6.0861
462.0,-3.5291,-0.3184,7.434
472.0,-4.3503,-0.0622,9.5409
482.0,-5.126,0.51,11.2551
492.0,-5.6336,0.9385,12.6653
502.0,-5.7628,1.2905,13.5248
512.0,-6.1028,0.3831,15.1816
522.0,-6.1651,-0.4046,16.666
532.0,-6.2968,0.3879,18.4545
542.0,-5.5258,1.4269,17.7889
552.0,-4.8123,1.992,17.2454
562.0,-4.3,1.6759,16.6852
572.0,-3.6416,0.5267,15.682
582.0,-3.1149,-0.6919,14.8249
592.0,-2.8228,-1.6065,14.3149
602.0,-2.5762,-2.229,13.5943
612.0,-2.5355,-2.478,13.2136
622.0,-2.3631,-2.5522,12.5552
632.0,-2.5307,-2.7461,12.3541
642.0,-2.4995,-2.5474,12.2631
652.0,-2.6552,-2.1787,12.2104
662.0,-2.8467,-1.7933,12.5576
672.0,-2.8563,-1.6448,12.5145
682.0,-3.0837,-1.5395,12.6222
692.0,-3.1795,-1.391,12.3828
702.0,-3.3136,-1.1636,12.3661
712.0,-3.462,-1.0415,12.3756
722.0,-3.3974,-0.8811,12.0764
732.0,-3.1915,-0.8763,11.6238
742.0,-2.9832,-0.7853,10.987
752.0,-2.7078,-0.9792,10.5728
762.0,-2.4541,-1.1636,10.1323
772.0,-2.2027,-1.2282,9.7181
782.0,-1.8699,-1.4174,9.177
792.0,-1.7119,-1.336,8.7149
802.0,-1.5826,-1.2594,8.6574
812.0,-1.5969,-1.2522,8.7245
822.0,-1.573,-0.6081,8.8562
832.0,-1.5036,0.0742,8.7149
842.0,-1.4222,0.1293,8.5976
852.0,-1.4892,-0.3232,9.0668
862.0,-1.4054,-0.4788,8.7939
872.0,-1.0846,-0.2394,8.1738
882.0,-0.9481,-0.0311,7.8075
892.0,-0.9026,0.1748,7.5824
902.0,-0.8452,0.3041,7.6327
912.0,-0.7709,0.4262,7.4172
922.0,-0.6847,0.8452,7.1754
