timestamp_ms,ax,ay,az
18652.0,-11.4515,0.7709,1.8771
18662.0,-11.1905,0.1341,3.0598
18672.0,-10.5273,-0.5219,4.0797
18682.0,-9.991,-1.7478,5.351
18692.0,-9.8162,-2.217,6.2752
18702.0,-9.7229,-2.2697,6.8953
18712.0,-9.9455,-1.81,6.8378
18722.0,-10.4914,-1.2498,6.3375
18732.0,-11.0875,-0.5028,5.4899
18742.0,-11.7867,0.17,5.0733
18752.0,-12.2487,0.5674,4.9991
18762.0,-12.5121,0.6895,5.0566
18772.0,-12.6629,1.0463,5.5402
18782.0,-12.5911,1.4676,6.043
18792.0,-12.2799,1.7478,6.256
18802.0,-11.7627,2.1284,6.5218
18812.0,-11.0109,2.3128,6.4955
18822.0,-10.1083,2.2434,6.0525
18832.0,-9.3757,1.8172,5.7174
18842.0,-8.6981,1.5395,5.3391
18852.0,-8.102,1.0127,5.2289
18862.0,-7.6447,0.4381,5.2792
18872.0,-7.4915,0.0263,5.4492
18882.0,-7.1994,-0.6728,5.6551
18892.0,-6.9671,-1.3982,5.4612
18902.0,-6.8498,-1.7837,5.3079
18912.0,-6.7852,-1.9728,5.1116
18922.0,-6.7062,-1.9872,4.5921
18932.0,-6.6798,-1.2881,4.2138
18942.0,-6.778,-0.498,4.0677
18952.0,-6.8259,0.0527,3.8882
18962.0,-6.7924,0.5267,3.881
18972.0,-6.7516,0.8164,4.0199
18982.0,-6.7445,0.5387,3.9145
18992.0,-6.8259,0.0335,4.2377
19002.0,-6.8402,-0.3184,4.3718
19012.0,-6.9408,-0.0383,4.5346
19022.0,-6.8953,0.3591,4.8578
19032.0,-7.0413,0.7039,4.9847
19042.0,-7.2113,0.8021,5.2074
19052.0,-7.5274,0.4142,5.4396
19062.0,-7.9655,-0.1748,5.5641
19072.0,-8.3629,-0.8595,5.5641
19082.0,-8.9304,-1.2713,5.9209
19092.0,-9.572,-1.5754,6.0645
19102.0,-10.0892,-1.7526,6.2082
19112.0,-10.6542,-1.4413,6.5314
19122.0,-11.0133,-0.9098,6.9097
19132.0,-11.4802,-0.182,7.1467
19142.0,-11.8058,0.6345,7.185
19152.0,-12.0093,1.3551,7.2185
19162.0,-12.1889,1.7933,7.276
19172.0,-12.821,1.9393,7.2592
19182.0,-13.3237,1.7789,6.5888
19192.0,-13.2351,1.4629,6.3542
19202.0,-12.3254,0.5387,6.8163
19212.0,-11.0492,-0.3184,7.8075
19222.0,-9.742,-0.8475,9.2727
19232.0,-9.5768,-0.9194,10.1562
19242.0,-10.4172,-0.6632,10.5512
19252.0,-11.4515,-0.5626,10.3477
19262.0,-11.8944,-0.1532,11.3581
19272.0,-12.3804,0.3208,7.2065
19282.0,-12.1602,0.3711,5.9544
19292.0,-12.1194,0.5818,5.1667
19302.0,-12.2392,0.5195,4.4867
19312.0,-12.4187,0.0694,4.7381
19322.0,-12.5384,0.1676,5.3846
19332.0,-12.3828,0.5291,6.0908
19342.0,-12.1003,0.9074,6.5721
19352.0,-11.6382,1.1444,6.6774
19362.0,-11.2025,1.1971,6.5362
19372.0,-10.6662,1.3671,6.2896
19382.0,-10.1706,1.4222,5.8873
19392.0,-9.7492,1.6352,5.3151
19402.0,-9.3302,1.549,4.5274
19412.0,-9.0357,1.1253,3.7828
19422.0,-8.8346,0.7087,3.2441
19432.0,-8.5976,0.2274,2.6432
19442.0,-8.3869,-0.091,2.1452
19452.0,-8.181,-0.261,1.8771
19462.0,-7.9176,-0.4142,1.3958
19472.0,-7.6231,-0.3735,1.2186
19482.0,-7.3526,-0.0431,1.0343
19492.0,-7.0653,0.3879,0.7063
19502.0,-6.6056,0.747,0.486
19512.0,-6.1627,1.1301,0.2346
19522.0,-5.7174,1.4533,0.0718
19532.0,-5.454,1.3623,0.0694
19542.0,-5.3678,0.9744,0.0575
19552.0,-5.2864,0.8308,0.1939
19562.0,-5.3367,1.1995,0.1844
19572.0,-5.3439,1.4557,0.2921
19582.0,-5.4708,1.4581,0.1772
19592.0,-5.7174,1.1492,0.3328
19602.0,-6.2106,0.8188,0.7566
19612.0,-6.6822,0.8236,1.1851
19622.0,-7.1682,1.0199,1.834
19632.0,-7.6662,1.0965,2.8539
19642.0,-8.1858,1.0726,4.0701
19652.0,-9.086,0.8236,4.4676
19662.0,-10.0676,0.2059,4.4053
19672.0,-10.5417,-0.6776,3.972
19682.0,-10.4291,-0.7661,3.1101
19692.0,-10.4746,0.0551,2.6121
19702.0,-10.5967,1.2833,2.5235
19712.0,-10.8816,2.5019,2.806
19722.0,-10.5536,2.7078,2.6863
19732.0,-9.9886,1.6448,3.462
19742.0,-9.0142,0.5938,4.3718
19752.0,-8.102,-0.3543,5.1188
19762.0,-7.4962,-1.0032,5.8131
19772.0,-7.4005,-1.5275,6.0262
19782.0,-7.8099,-1.8244,6.0932
19792.0,-8.5473,-1.8244,5.7652
19802.0,-9.3661,-1.8627,4.9057
19812.0,-10.0604,-1.9776,4.276
19822.0,-10.568,-1.5083,3.8451
19832.0,-10.8816,-0.747,3.8283
19842.0,-10.9008,-0.3759,3.5674
19852.0,-10.9008,0.1077,3.5698
19862.0,-10.9176,0.4621,3.9433
19872.0,-10.6877,0.2993,3.9744
19882.0,-10.6039,-0.34,4.2593
19892.0,-10.3789,-0.984,4.2497
19902.0,-10.2256,-1.7214,4.2617
19912.0,-9.924,-2.3487,4.2928
19922.0,-9.5696,-2.6552,4.3838
19932.0,-9.3087,-2.9521,4.9249
19942.0,-8.995,-2.8563,5.691
19952.0,-8.7628,-2.6217,6.1986
19962.0,-8.4443,-2.6169,6.3422
19972.0,-8.1355,-2.2793,6.3015
19982.0,-7.8697,-1.7717,6.1148
19992.0,-7.7093,-1.2163,5.9927
20002.0,-7.5226,-0.8811,5.7964
20012.0,-7.4244,-0.5195,5.8275
20022.0,-7.3191,-0.5459,5.7796
20032.0,-7.2496,-1.0056,5.7006
20042.0,-7.1323,-1.6017,5.5138
20052.0,-6.9599,-1.9345,5.3295
20062.0,-6.9432,-1.9656,5.0278
20072.0,-7.1299,-1.6041,4.81
20082.0,-7.6519,-1.1732,4.2832
20092.0,-8.3294,-0.9002,3.8954
20102.0,-8.6024,-0.4022,3.4955
20112.0,-8.521,0.7685,3.0335
20122.0,-8.3653,1.9968,2.6743
20132.0,-8.327,2.5043,2.332
20142.0,-8.418,2.2793,1.992
20152.0,-8.7101,1.6137,1.968
20162.0,-9.0668,0.7805,2.3727
20172.0,-9.675,0.34,2.9832
20182.0,-10.2328,0.2586,3.7493
20192.0,-10.7931,0.1532,4.2928
20202.0,-11.5831,-0.1006,5.0709
20212.0,-12.153,-0.2682,5.8083
20222.0,-12.5576,-0.5746,5.8634
20232.0,-12.8832,-0.9457,6.0334
20242.0,-13.1873,-1.1133,5.8658
20252.0,-13.4458,-1.8555,5.9328
20262.0,-13.5632,-1.9058,5.9185
20272.0,-13.2016,-1.8651,6.3446
20282.0,-12.4091,-1.5586,6.9432
20292.0,-10.9918,-1.4868,7.525
20302.0,-9.8282,-1.5826,8.442
20312.0,-9.2009,-1.257,9.019
20322.0,-9.1794,-0.5363,9.3589
20332.0,-9.4763,0.3424,8.7293
20342.0,-9.8282,0.9218,7.3454
20352.0,-10.0461,0.8954,5.545
20362.0,-10.331,1.0247,4.2425
20372.0,-10.6638,0.8787,3.2058
20382.0,-11.0588,0.5746,2.8563
20392.0,-11.3725,-0.103,2.7054
20402.0,-11.7316,-1.0367,3.5434
20412.0,-12.2966,-2.0016,4.9201
20422.0,-12.6127,-2.806,6.7804
20432.0,-13.046,-2.5881,5.7868
20442.0,-13.137,-2.5067,6.8474
20452.0,-12.9694,-2.0638,6.7421
20462.0,-12.5049,-1.3623,6.0908
20472.0,-11.8896,-0.5794,5.5665
20482.0,-11.224,0.2442,4.8937
20492.0,-10.6781,0.8332,4.3144
20502.0,-10.1131,1.2258,3.9217
20512.0,-9.8067,1.4461,3.2992
20522.0,-9.5074,1.2234,2.8443
20532.0,-9.244,0.6823,2.5211
20542.0,-9.1554,0.3112,2.2913
20552.0,-9.098,0.3448,2.0686
20562.0,-8.928,0.3424,1.6496
20572.0,-8.691,0.3304,1.3862
20582.0,-8.4683,0.4836,1.0511
20592.0,-8.2576,0.668,0.6057
20602.0,-7.944,0.8164,0.4693
20612.0,-7.7764,0.9936,0.1221
20622.0,-7.7069,1.1971,-0.0814
20632.0,-7.6998,1.312,-0.328
20642.0,-7.9416,1.2905,-0.2227
20652.0,-8.1882,1.1325,-0.4884
20662.0,-8.3558,1.0606,-0.5555
20672.0,-8.5114,1.3431,-0.498
20682.0,-8.5593,1.7454,-0.3903
20692.0,-8.7963,1.7861,0.0263
20702.0,-8.8442,1.3024,0.1772
20712.0,-8.758,0.7494,0.6009
20722.0,-8.7532,0.6153,0.4741
20732.0,-8.6167,1.0056,-0.0766
20742.0,-8.5569,2.0423,-0.407
20752.0,-8.758,2.8706,-0.4166
20762.0,-9.3613,3.4764,-0.51
20772.0,-9.6941,3.3758,-0.5531
20782.0,-9.8019,3.0502,-0.431
20792.0,-9.6414,2.5426,0.5866
20802.0,-9.426,1.9273,1.9369
20812.0,-9.3685,1.4916,3.0095
20822.0,-9.0788,0.5914,4.1779
20832.0,-8.995,-0.4693,4.6064
20842.0,-9.1578,-1.3024,5.1667
20852.0,-9.5289,-2.4972,5.2625
20862.0,-9.809,-3.2058,4.9129
20872.0,-10.161,-3.4022,4.0869
20882.0,-10.3406,-2.8946,3.2082
20892.0,-10.5249,-1.664,2.478
20902.0,-10.5129,-0.0527,2.0111
20912.0,-10.1514,1.4461,1.7262
20922.0,-9.7564,2.8108,1.8962
20932.0,-9.2895,3.7757,2.32
20942.0,-8.8226,3.7326,2.1093
20952.0,-8.2983,2.5235,4.2689
20962.0,-7.8721,1.3479,4.2473
20972.0,-7.6998,0.644,4.4628
20982.0,-7.6399,0.0718,4.9105
20992.0,-7.5729,-0.0527,4.9009
21002.0,-7.616,-0.2227,4.9321
21012.0,-7.6591,-0.4046,4.7285
21022.0,-7.8602,-0.5962,4.6663
21032.0,-7.9535,-0.9984,4.5011
21042.0,-8.0349,-1.1588,4.446
21052.0,-8.1738,-1.0798,4.5969
21062.0,-8.43,-0.6656,4.7884
21072.0,-8.6694,-0.0431,4.9799
21082.0,-8.7676,0.5914,5.43
21092.0,-8.9759,0.9337,5.6096
21102.0,-9.1363,0.9529,5.9711
21112.0,-9.3326,0.7254,6.0501
21122.0,-9.4188,0.6153,6.0956
21132.0,-9.4523,0.3041,6.1172
21142.0,-9.5098,0.0383,6.4476
21152.0,-9.7755,-0.1963,6.6726
21162.0,-10.0868,-0.3041,6.754
21172.0,-10.4028,-0.3352,6.924
21182.0,-10.5704,-0.6991,7.1299
21192.0,-10.7524,-1.3982,7.343
21202.0,-10.7978,-2.1261,7.2927
21212.0,-10.9032,-2.5235,7.501
21222.0,-11.2575,-2.3942,7.2999
21232.0,-11.7053,-1.7909,7.1299
21242.0,-12.4475,-1.1133,6.2225
21252.0,-13.3453,-0.9936,6.2417
21262.0,-14.0516,-0.7159,5.7365
21272.0,-14.0396,-1.5395,5.9592
21282.0,-13.3788,-2.0925,6.3255
21292.0,-12.4642,-3.0023,6.3422
21302.0,-11.406,-3.2298,7.2113
21312.0,-10.6374,-3.5985,7.1467
21322.0,-10.4698,-3.6536,7.0797
21332.0,-10.7571,-3.5458,6.0238
21342.0,-11.2719,-3.1699,4.889
21352.0,-12.0093,-2.5187,3.4117
21362.0,-12.3565,-1.731,2.5786
21372.0,-12.5241,-0.8212,1.3599
