timestamp_ms,ax,ay,az
6912.0,-0.2969,-1.5993,-0.6081
6922.0,-0.7661,-2.1308,0.5004
6932.0,-0.7901,-2.5881,0.6105
6942.0,-0.7254,-2.7725,0.1532
6952.0,-0.7949,-2.5714,0.0215
6962.0,-0.9984,-2.399,0.905
6972.0,-1.0343,-2.6264,0.9074
6982.0,-1.1181,-2.9042,-0.1221
6992.0,-1.5107,-3.5626,1.2234
7002.0,-1.5395,-4.7238,1.8603
7012.0,-1.1899,-5.7245,0.8978
7022.0,-1.2139,-5.296,0.7661
7032.0,-1.2905,-3.4453,1.2115
7042.0,-1.1803,-1.6041,1.4102
7052.0,-0.8619,-0.9649,0.8691
7062.0,-0.4405,0.1532,2.1141
7072.0,-0.1796,-0.4477,4.6759
7082.0,-0.3759,-0.2682,5.6048
7092.0,1.6305,0.9242,6.5769
7102.0,0.0335,-1.7645,10.5896
7112.0,0.2945,1.1612,12.3924
7122.0,1.3886,0.2298,12.9885
7132.0,1.9513,-1.5323,14.3748
7142.0,4.5969,1.6257,20.0586
7152.0,3.1508,0.1173,26.4727
7162.0,4.6902,4.7477,26.9922
7172.0,2.9161,5.3319,31.5771
7182.0,1.9273,3.8427,32.9466
7192.0,-1.0223,-2.5594,33.0879
7202.0,-5.2241,4.2856,37.577
7212.0,-8.4276,4.1635,40.7086
7222.0,-7.4412,7.2185,35.1181
7232.0,-4.6376,8.0996,26.5541
7242.0,-2.7007,6.6535,21.9405
7252.0,-2.6935,5.1308,22.539
7262.0,-1.8794,3.5793,19.5534
7272.0,-1.221,1.5107,17.0347
7282.0,-1.3623,-0.9912,15.9095
7292.0,-1.3695,-0.9649,15.5575
7302.0,-1.415,-1.2785,14.9111
7312.0,-0.7757,-1.0702,12.7755
7322.0,0.1676,-1.2163,10.4842
7332.0,-0.2825,-0.893,10.0868
7342.0,-0.0862,-0.6608,9.4308
7352.0,0.0551,-1.5826,8.5808
7362.0,0.3328,-1.2474,7.5154
7372.0,0.498,-0.0958,6.3422
7382.0,0.9625,-0.5531,5.2984
7392.0,1.3575,0.0766,3.5458
7402.0,1.8172,0.0575,3.0047
7412.0,1.5155,0.8906,3.0263
7422.0,1.4198,0.4788,3.3974
7432.0,1.8986,-0.2442,1.4246
7442.0,1.719,-0.6297,1.0247
7452.0,1.494,-1.4437,1.7358
7462.0,1.5802,-1.8459,1.6424
7472.0,1.4222,-1.2139,1.0774
7482.0,1.3958,-2.2314,0.407
7492.0,1.1325,-2.0375,0.8882
7502.0,0.9074,-1.7095,1.2426
7512.0,0.8787,-3.1149,0.6991
7522.0,1.0798,-3.0598,0.5267
7532.0,0.2634,-4.142,1.5586
7542.0,0.6225,-3.8307,1.2881
7552.0,0.3496,-5.2577,1.5802
7562.0,0.3017,-5.3103,1.3168
7572.0,0.1676,-5.1667,1.4317
7582.0,-0.0431,-5.2936,1.8028
7592.0,-0.0192,-5.2648,1.3838
7602.0,-0.2346,-4.7333,1.1157
7612.0,-0.249,-3.1316,1.6113
7622.0,-0.0622,-1.6712,1.4437
7632.0,0.2274,-1.5012,0.9146
7642.0,0.6584,-1.3455,1.0774
7652.0,0.838,-1.8076,1.5443
7662.0,1.0822,-2.2218,1.9441
7672.0,1.4341,-1.6089,2.3655
7682.0,1.2665,-0.3974,4.1324
7692.0,1.1971,0.8068,5.3893
7702.0,1.2809,-0.0958,6.4979
7712.0,0.6632,-1.8771,11.3964
7722.0,1.6257,-3.1867,16.5607
7732.0,3.9768,-4.2186,19.0698
7742.0,4.8004,-0.5674,18.8519
7752.0,5.2577,4.9728,20.3579
7762.0,4.4796,7.2616,27.6698
7772.0,1.5514,4.8147,33.2195
7782.0,0.34,4.0582,34.838
7792.0,-2.0423,2.0351,37.7278
7802.0,-4.0821,4.0318,36.9353
7812.0,-3.7996,3.6296,32.9251
7822.0,-4.0151,4.1396,31.0624
7832.0,-3.5267,4.6304,28.8094
7842.0,-2.4493,3.3279,24.9428
7852.0,-0.8978,2.9904,20.3363
7862.0,-0.0455,2.7174,17.0611
7872.0,0.2897,1.9872,15.3133
7882.0,0.0144,0.0311,15.1098
7892.0,-0.4788,-0.6632,14.9159
7902.0,-0.6105,-1.3671,13.4626
7912.0,-0.4453,-1.5203,12.1027
7922.0,0.0886,-1.5538,10.7643
7932.0,0.6009,-1.8531,9.8545
7942.0,1.0726,-0.6608,8.1451
7952.0,1.5658,-0.5866,6.6798
7962.0,1.6424,0.0622,6.3446
7972.0,2.0375,-0.1915,6.6224
7982.0,1.7262,-0.4501,5.715
7992.0,1.9848,-0.6823,4.5514
8002.0,1.9752,-1.5969,4.5179
8012.0,1.7669,-1.4676,4.13
8022.0,1.9609,-0.9673,3.1412
8032.0,1.9465,-1.1133,2.739
8042.0,2.059,-1.257,2.5259
8052.0,2.1931,-1.1947,1.8004
8062.0,1.8771,-2.1596,2.0327
8072.0,2.49,-1.1061,1.0511
8082.0,2.7773,-2.806,-0.2729
8092.0,2.5139,-3.0335,-0.2586
8102.0,2.8683,-2.8706,0.2682
8112.0,2.332,-3.4237,1.0702
8122.0,2.5283,-4.2521,-0.0359
8132.0,2.6959,-3.7852,-1.0199
8142.0,2.6647,-3.2585,-0.6632
8152.0,2.5091,-3.4381,-0.2897
8162.0,2.4995,-3.7565,-0.261
8172.0,2.7054,-4.0917,-0.8332
8182.0,2.8778,-4.8483,-1.1971
8192.0,1.81,-5.2936,0.7661
8202.0,1.494,-5.6336,1.9465
8212.0,1.8651,-4.9153,0.1724
8222.0,1.8004,-4.4005,-0.1317
8232.0,1.3575,-3.8738,1.8052
