timestamp_ms,ax,ay,az
6732.0,-0.9912,-1.5155,1.2234
6742.0,-0.8236,-0.6105,1.0151
6752.0,-0.6201,-1.7789,1.075
6762.0,-1.0247,-3.1556,2.2338
6772.0,-1.233,-3.7613,3.5602
6782.0,-1.4269,-3.948,4.0582
6792.0,-1.0319,-4.0582,6.2537
6802.0,0.0287,-2.2984,6.9576
6812.0,1.3886,0.0886,5.6719
6822.0,2.1332,1.5083,6.3734
6832.0,2.3128,0.4932,8.2744
6842.0,2.6073,-2.8683,11.7962
6852.0,4.5179,-6.122,13.0364
6862.0,8.6742,-7.9416,11.9423
6872.0,10.1969,-8.3821,15.0763
6882.0,12.2128,-5.2361,17.7099
6892.0,12.7204,-2.9377,17.9134
6902.0,13.951,-0.2011,19.7258
6912.0,11.0133,-0.8045,24.9572
6922.0,7.5968,4.0318,31.704
6932.0,3.6655,3.4979,34.3903
6942.0,4.1204,3.1436,29.9754
6952.0,3.5985,1.5323,27.0425
6962.0,4.0007,2.1668,24.0713
6972.0,4.2497,1.3599,20.8487
6982.0,4.3598,1.1325,17.9685
6992.0,4.2545,-0.067,16.3476
7002.0,4.0558,-1.6472,15.5312
7012.0,4.312,-3.0646,13.9414
7022.0,3.7733,-3.7685,12.4882
7032.0,3.6583,-4.2377,10.9008
7042.0,3.3112,-5.4947,9.2464
7052.0,2.964,-5.217,8.6718
7062.0,2.9736,-5.4372,7.616
7072.0,2.1189,-4.2545,6.2656
7082.0,1.7957,-4.4317,5.4157
7092.0,1.7669,-3.5841,5.8538
7102.0,1.7957,-3.2992,4.5203
7112.0,2.0925,-2.2984,2.308
7122.0,2.1117,-1.7765,1.3982
7132.0,1.6544,-0.9002,1.8124
7142.0,1.4461,-0.5746,1.3503
7152.0,1.4461,-0.3112,0.1915
7162.0,1.1372,-0.905,-0.0862
7172.0,0.4094,-2.0016,1.2977
7182.0,0.1293,-2.4852,1.6712
7192.0,0.3543,-2.3224,0.4214
7202.0,0.5698,-2.0207,-0.6033
7212.0,0.3591,-2.5283,-0.3591
7222.0,0.1508,-2.9784,0.2346
7232.0,-0.0646,-3.3471,0.1915
7242.0,-0.4381,-3.7014,0.3711
7252.0,-0.8404,-4.0007,0.656
7262.0,-1.312,-4.8842,1.664
7272.0,-1.8244,-4.8985,3.4764
7282.0,-1.3671,-4.6591,2.7533
7292.0,-1.0008,-4.5346,2.0159
7302.0,-1.0487,-4.2832,3.0215
7312.0,-1.0199,-4.4652,4.561
7322.0,-0.1053,-3.0981,4.9799
7332.0,1.1684,-1.9561,3.9337
7342.0,2.4229,-0.4812,3.7158
7352.0,2.478,0.2346,6.5936
7362.0,2.9688,-1.2594,12.6079
7372.0,5.3319,-4.9847,17.4968
7382.0,9.2775,-4.1252,18.2247
7392.0,12.2775,-1.2498,14.7435
7402.0,15.0332,3.1101,16.4075
7412.0,12.0979,3.2537,26.7408
7422.0,10.058,5.0135,31.2228
7432.0,7.1443,-1.2737,35.1876
7442.0,3.3591,-0.9481,39.1045
7452.0,-0.2107,-2.8826,40.3495
7462.0,0.9577,-0.9912,35.6233
7472.0,1.6328,-1.8866,29.2739
7482.0,2.4708,0.7973,23.9444
7492.0,2.4876,-0.3974,21.4904
7502.0,2.9904,0.2634,18.1265
7512.0,3.5123,-0.6033,13.872
7522.0,3.814,-1.8723,11.3078
7532.0,3.3974,-3.9504,11.4539
7542.0,3.2322,-4.9512,10.2496
7552.0,3.4884,-5.3127,7.8937
7562.0,3.5171,-4.5394,6.5697
7572.0,3.3639,-3.7302,5.5761
7582.0,3.0837,-4.2497,4.1204
7592.0,3.0646,-3.4429,2.7174
7602.0,2.9688,-3.7397,2.3248
7612.0,2.7198,-3.3686,1.573
7622.0,2.5618,-3.0143,0.4549
7632.0,2.5786,-3.3758,0.6033
7642.0,2.4014,-2.0351,0.0192
7652.0,2.5187,-0.9529,-1.2953
7662.0,2.49,-0.9313,-1.8579
7672.0,2.0016,-1.6424,-1.1037
7682.0,1.5682,-1.6209,-0.4884
7692.0,1.2067,-2.047,-0.067
7702.0,0.6967,-2.7533,0.8356
7712.0,0.1197,-3.1388,2.0853
7722.0,-0.0263,-2.1955,2.1069
7732.0,0.17,-0.8978,1.2186
7742.0,0.1915,-0.9553,1.1684
7752.0,0.0359,-1.0295,1.664
7762.0,0.2035,-1.7023,1.3958
7772.0,0.3328,-2.909,0.7039
7782.0,0.2945,-3.7876,0.5746
7792.0,0.1939,-3.9002,1.1923
7802.0,0.1508,-4.0318,1.8292
7812.0,0.5459,-3.8451,1.3958
7822.0,0.6967,-4.8028,0.9026
7832.0,1.166,-5.7892,1.4102
7842.0,1.1181,-4.9464,1.9154
7852.0,1.4389,-5.193,1.9082
7862.0,1.7573,-3.4477,4.1611
7872.0,3.371,-1.5275,4.889
7882.0,6.6846,-0.9625,6.2513
7892.0,9.1602,-0.2514,8.8298
7902.0,11.6598,2.8946,10.386
7912.0,12.8593,3.9624,12.1218
7922.0,10.6446,0.2083,19.1728
